[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=104 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=222 Y=168 WIDTH=106 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=104 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=221 Y=168 WIDTH=105 HEIGHT= 62]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=222 Y=167 WIDTH=106 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=106 HEIGHT= 64]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=221 Y=167 WIDTH=105 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=222 Y=167 WIDTH=106 HEIGHT= 63]
[BLOCK_TYPE=0 SIG=2 X=223 Y=163 WIDTH=108 HEIGHT= 71]
[BLOCK_TYPE=0 SIG=2 X=223 Y=164 WIDTH=108 HEIGHT= 70]
[BLOCK_TYPE=0 SIG=2 X=223 Y=164 WIDTH=109 HEIGHT= 69]
[BLOCK_TYPE=0 SIG=2 X=223 Y=164 WIDTH=106 HEIGHT= 69]
[BLOCK_TYPE=0 SIG=2 X=221 Y=164 WIDTH=104 HEIGHT= 69]
[BLOCK_TYPE=0 SIG=2 X=219 Y=164 WIDTH=101 HEIGHT= 70]
[BLOCK_TYPE=0 SIG=2 X=216 Y=163 WIDTH= 95 HEIGHT= 71]
[BLOCK_TYPE=0 SIG=2 X=212 Y=163 WIDTH= 94 HEIGHT= 72]
[BLOCK_TYPE=0 SIG=2 X=209 Y=163 WIDTH= 89 HEIGHT= 71]
[BLOCK_TYPE=0 SIG=2 X=208 Y=163 WIDTH= 82 HEIGHT= 71]
[BLOCK_TYPE=0 SIG=2 X=206 Y=163 WIDTH= 78 HEIGHT= 72]
[BLOCK_TYPE=0 SIG=2 X=205 Y=163 WIDTH= 76 HEIGHT= 72]
[BLOCK_TYPE=0 SIG=2 X=202 Y=163 WIDTH= 73 HEIGHT= 72]
[BLOCK_TYPE=0 SIG=2 X=200 Y=163 WIDTH= 69 HEIGHT= 72]
[BLOCK_TYPE=0 SIG=2 X=200 Y=162 WIDTH= 68 HEIGHT= 68]
[BLOCK_TYPE=0 SIG=2 X=197 Y=160 WIDTH= 65 HEIGHT= 66]
[BLOCK_TYPE=0 SIG=2 X=197 Y=158 WIDTH= 64 HEIGHT= 64]
[BLOCK_TYPE=0 SIG=2 X=195 Y=156 WIDTH= 60 HEIGHT= 61]
[BLOCK_TYPE=0 SIG=2 X=195 Y=155 WIDTH= 60 HEIGHT= 57]
[BLOCK_TYPE=0 SIG=2 X=193 Y=153 WIDTH= 55 HEIGHT= 57]
[BLOCK_TYPE=0 SIG=2 X=192 Y=151 WIDTH= 56 HEIGHT= 54]
[BLOCK_TYPE=0 SIG=2 X=190 Y=149 WIDTH= 52 HEIGHT= 53]
[BLOCK_TYPE=0 SIG=2 X=189 Y=148 WIDTH= 51 HEIGHT= 51]
[BLOCK_TYPE=0 SIG=2 X=188 Y=146 WIDTH= 48 HEIGHT= 48]
[BLOCK_TYPE=0 SIG=2 X=186 Y=144 WIDTH= 48 HEIGHT= 47]
[BLOCK_TYPE=0 SIG=2 X=185 Y=143 WIDTH= 43 HEIGHT= 45]
[BLOCK_TYPE=0 SIG=2 X=184 Y=142 WIDTH= 43 HEIGHT= 44]
[BLOCK_TYPE=0 SIG=2 X=184 Y=141 WIDTH= 42 HEIGHT= 43]
[BLOCK_TYPE=0 SIG=2 X=182 Y=139 WIDTH= 39 HEIGHT= 41]
[BLOCK_TYPE=0 SIG=2 X=182 Y=138 WIDTH= 39 HEIGHT= 41]
[BLOCK_TYPE=0 SIG=2 X=182 Y=137 WIDTH= 38 HEIGHT= 39]
[BLOCK_TYPE=0 SIG=2 X=180 Y=137 WIDTH= 34 HEIGHT= 38]
[BLOCK_TYPE=0 SIG=2 X=180 Y=136 WIDTH= 34 HEIGHT= 37]
[BLOCK_TYPE=0 SIG=2 X=179 Y=136 WIDTH= 37 HEIGHT= 37]
